Class ID,Class,Year,RCA,Grande Sector,Grande Sector ID,RCA Prev,RCA Growth,RCA Change
"D35204","Produção de gás, processamento de gás natural, distribuição de combustíveis gasosos por redes urbanas",2025,28.07329406583495,"Indústria",2,7.480634331746431,20.59265973408852,0
"C13120","Preparação e fiação de fibras têxteis naturais, exceto algodão",2025,12.839099597874574,"Indústria",2,0.22232965277216124,12.616769945102412,12.839099597874574
"A01351","Cultivo de cacau",2025,43.327781267158706,"Agricultura",1,30.760035145421575,12.56774612173713,0
"A01148","Cultivo de fumo",2025,43.204102817431334,"Agricultura",1,31.333784355857674,11.87031846157366,0
"B07251","Extração de minerais radioativos",2025,32.45820093643615,"Indústria",2,22.098959489888614,10.359241446547536,0
"G45421","Representantes comerciais e agentes do comércio de motocicletas, peças e acessórios",2025,10.140514749183493,"Comércio",3,2.0021980965984283,8.138316652585065,0
"R91015","Atividades de bibliotecas e arquivos",2025,8.90985206709274,"Serviços",4,0.972761782196148,7.937090284896591,8.90985206709274
"J63119","Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet",2025,9.105656096430321,"Serviços",4,2.258053284429997,6.847602812000324,0
"S94308","Atividades de associações de defesa de direitos sociais",2025,16.231377214408226,"Serviços",4,9.597208168228194,6.634169046180032,0
"D35115","Geração de energia elétrica",2025,8.572101990057103,"Indústria",2,2.056049815153918,6.5160521749031854,0
