State ID,State,Year,Establishments,Number workers,Number workers / Establishments
11,"Rondônia",2025,94533,432740,4.577660711074439
12,"Acre",2025,42603,192323,4.5143065042367905
13,"Amazonas",2025,257196,887843,3.452009362509526
14,"Roraima",2025,29207,158562,5.428904029855857
15,"Pará",2025,806913,1575756,1.9528201925114603
16,"Amapá",2025,54276,184387,3.397210553467463
17,"Tocantins",2025,91296,437580,4.792981072555205
21,"Maranhão",2025,942765,1064536,1.1291636834205767
22,"Piauí",2025,196425,637549,3.2457630138729794
23,"Ceará",2025,326503,2044828,6.2628153493229775
24,"Rio Grande Do Norte",2025,155231,740730,4.771791716860679
25,"Paraíba",2025,199791,906586,4.53767186710112
26,"Pernambuco",2025,305850,2070688,6.770273009645251
27,"Alagoas",2025,128256,710386,5.538812999001996
28,"Sergipe",2025,122749,505020,4.114249403253794
29,"Bahia",2025,704598,3005982,4.266236918072432
31,"Minas Gerais",2025,1271358,6256666,4.921246415250464
32,"Espírito Santo",2025,247658,1127414,4.552301964806306
33,"Rio De Janeiro",2025,754770,4871281,6.4539939319262825
35,"São Paulo",2025,3211224,16158383,5.031845489445769
41,"Paraná",2025,879358,3806237,4.328427102499778
42,"Santa Catarina",2025,709938,2920909,4.114315616293254
43,"Rio Grande Do Sul",2025,772835,3326987,4.304912432796134
50,"Mato Grosso Do Sul",2025,188625,851193,4.5126202783300196
51,"Mato Grosso",2025,291842,1254302,4.297880359920779
52,"Goiás",2025,455344,1986267,4.362124020520749
53,"Distrito Federal",2025,217871,1848428,8.484047899904072
99,"Não informado",2025,14926,4112,0.27549242931796863
