Atividade econômica,Bahia,Brasil,São Paulo,Minas Gerais,Rio De Janeiro
"""O - Administração Pública, Defesa E Seguridade Social""",0.25674010133896424,0.1517129715180194,0.13842610029292343,0.09535313905779112,0.026297640043426357
"""D - Eletricidade E Gás""",0.1412907702984039,0.04136879229816033,0.038620832470490786,0.1444451583884855,0.02237354085603113
"""R - Artes, Cultura, Esporte E Recreação""",0.1131946812137743,0.09893536809723437,0.08064232033818694,0.11623810395314788,0.10289162372603705
"""N - Atividades Administrativas E Serviços Complementares""",0.11131741075196219,0.03829891055289911,0.03391593436503616,0.03184695396904925,0.00933855229785465
"""E - Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação""",0.08659605868564979,0.05153089574141706,-0.007862394676112274,0.035100808242295056,0.023262246016772525
"""I - Alojamento E Alimentação""",0.07147540983606557,0.03386832128397108,0.007522176227084566,0.030522637423573896,0.021174498546174626
"""M - Atividades Profissionais, Científicas E Técnicas""",0.06552788890071946,0.053039179246838854,0.02342859855677934,0.07546985064998646,0.04447478112087952
"""L - Atividades Imobiliárias""",0.05413517118719431,0.020172838265588102,0.01455171334689407,0.03143270932789787,-0.003515052888527258
"""F - Construção""",0.05222127766757974,0.024894559670716274,-0.02466037411660653,0.03222942339614225,0.022294131243302304
"""C - Indústrias De Transformação""",0.04882228671839523,0.014427148295899321,0.009392648144991762,0.01325167347165514,0.012048207009350212
"""Q - Saúde Humana E Serviços Sociais""",0.047302941786601334,0.04226269210011479,0.012767365707517592,0.04364060240363038,0.03433030008421974
"""H - Transporte, armazenagem e correio""",0.027647580836676792,0.03624245823056689,0.019881820068612728,0.029836626630504973,0.05299564877831083
"""P - Educação""",0.023280061682963586,0.0618001157456862,0.08934122756315123,0.016057747336939467,0.04535263208818035
"""G - Comércio, Reparação De Veículos Automotores E Motocicletas""",0.020032650632121944,0.016756471394103866,0.008922565751800221,0.015039981417783576,0.01786964579901153
"""B - Indústrias Extrativas""",0.019532169247423167,0.03557669305283303,0.033482025022435725,0.043740754068209986,-0.012904011199707834
"""A - Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura""",0.01590887472652906,0.016445861080091825,0.010615262209062252,-0.024263103023410105,0.0449467394128345
"""J - Informação E Comunicação""",0.005313025768174976,0.025035719459039492,0.027561097354487,0.004746030353539784,0.00866351643573872
"""S - Outras Atividades De Serviços""",0.005090070386129558,0.0018809396763293904,0.006562704088946941,0.03494903571166679,-0.033863673513866946
"""K - Atividades Financeiras, De Seguros E Serviços Relacionados""",-0.018257694314032343,0.009818600368324125,0.013211497758255763,-0.043387093176292135,0.020567812061099335
"""U - Organismos Internacionais e Outras Instituições estraterritoriais""",-0.037037037037037035,-0.027421892560125873,-0.05555555555555555,-0.02806122448979592,0.024759284731774415
"""T - Serviços Domésticos""",-0.046511627906976744,-0.010227272727272727,0.13580246913580246,0.07142857142857142,0.27205882352941174
