Atividade econômica,Bahia,Brasil
"""O - Administração Pública, Defesa E Seguridade Social""",0.3932032733202849,0.2928081639446822,-0.08912598179612359
"""R - Artes, Cultura, Esporte E Recreação""",0.34044955352560813,0.30705407586763517,0.2928886566112036
"""L - Atividades Imobiliárias""",0.30872205354678445,0.0791254112257317,0.0066745577694482805
"""N - Atividades Administrativas E Serviços Complementares""",0.23472975795211892,0.1527956683400206,0.080477431458355
"""M - Atividades Profissionais, Científicas E Técnicas""",0.1964917075170376,0.14811462662213498,0.1052229132519121
"""Q - Saúde Humana E Serviços Sociais""",0.1725440964157931,0.16401658433636837,0.14183303679032827
"""H - Transporte, armazenagem e correio""",0.13290663947584172,0.11073580903212615,0.12957496619214495
"""U - Organismos Internacionais e Outras Instituições estraterritoriais""",0.13043478260869565,0.8658904700301854,0.33273703041144903
"""I - Alojamento E Alimentação""",0.12800552267085763,0.09459771130361778,0.08818814055636896
"""P - Educação""",0.10933908318927031,0.3898092152696268,0.8336771228732102
"""B - Indústrias Extrativas""",0.10469682288744964,0.1323741849841877,0.04747448650045214
"""D - Eletricidade E Gás""",0.09669245132035209,0.07174119742223697,0.09777296974670795
"""S - Outras Atividades De Serviços""",0.08415905288894608,0.07607107573712553,0.02272858360517057
"""A - Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura""",0.08292423256639261,0.034737467761928445,0.030486332392906157
"""C - Indústrias De Transformação""",0.08028665671556805,0.05237026699811849,0.05595177323853702
"""F - Construção""",0.0527914112362099,0.10836647860396244,0.08690558803447683
"""G - Comércio, Reparação De Veículos Automotores E Motocicletas""",0.05175359513797386,0.04275880337517114,0.03817164533086795
"""J - Informação E Comunicação""",0.02776185159479767,0.059899170934541106,0.02019131292137562
"""K - Atividades Financeiras, De Seguros E Serviços Relacionados""",-0.00790722192936215,0.040213721950891,0.03393017326327976
"""E - Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação""",-0.03585734093360037,0.08990155057839035,0.02299951611151161
"""T - Serviços Domésticos""",-0.6371681415929203,-0.3211223694466095,-0.1218274111675127
