Cod.;CNAE 2.0 Grupo - BAHIA;2025;2024;2023;Total
060;Extração de petróleo e gás natural;3.209;3.028;2.526;8.763
071;Extração de minério de ferro;288;316;374;978
072;Extração de minerais metálicos não-ferrosos;8.106;7.989;7.987;24.082
081;Extração de pedra, areia e argila;4.843;4.621;4.166;13.630
089;Extração de outros minerais não-metálicos;2.526;2.331;2.149;7.006
091;Atividades de apoio à extração de petróleo e gás natural;2.480;2.669;2.786;7.935
099;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;257;329;368;954
101;Abate e fabricação de produtos de carne;13.690;12.594;11.278;37.562
102;Preservação do pescado e fabricação de produtos do pescado;741;727;707;2.175
103;Fabricação de conservas de frutas, legumes e outros vegetais;3.227;3.068;2.909;9.204
104;Fabricação de óleos e gorduras vegetais e animais;1.654;1.636;1.540;4.830
105;Laticínios;5.773;5.509;5.176;16.458
106;Moagem, fabricação de produtos amiláceos e de alimentos para animais;6.609;6.074;5.723;18.406
107;Fabricação e refino de açúcar;3.002;3.166;3.101;9.269
108;Torrefação e moagem de café;976;978;970;2.924
109;Fabricação de outros produtos alimentícios;20.366;18.959;18.077;57.402
111;Fabricação de bebidas alcoólicas;2.967;2.984;2.728;8.679
112;Fabricação de bebidas não-alcoólicas;4.350;4.151;3.798;12.299
121;Processamento industrial do fumo;671;665;882;2.218
122;Fabricação de produtos do fumo;386;379;375;1.140
131;Preparação e fiação de fibras têxteis;2.566;2.416;2.059;7.041
132;Tecelagem, exceto malha;4.840;4.976;4.450;14.266
133;Fabricação de tecidos de malha;301;291;265;857
134;Acabamentos em fios, tecidos e artefatos têxteis;369;424;397;1.190
135;Fabricação de artefatos têxteis, exceto vestuário;3.117;2.833;2.550;8.500
141;Confecção de artigos do vestuário e acessórios;9.978;9.603;9.806;29.387
142;Fabricação de artigos de malharia e tricotagem;2.697;2.318;2.361;7.376
151;Curtimento e outras preparações de couro;823;843;781;2.447
152;Fabricação de artigos para viagem e de artefatos diversos de couro;1.972;2.116;1.779;5.867
153;Fabricação de calçados;41.722;38.996;40.107;120.825
154;Fabricação de partes para calçados, de qualquer material;706;600;857;2.163
161;Desdobramento de madeira;541;507;423;1.471
162;Fabricação de produtos de madeira, cortiça e material trançado, exceto móveis;2.152;2.116;2.118;6.386
171;Fabricação de celulose e outras pastas para a fabricação de papel;3.712;3.810;3.737;11.259
172;Fabricação de papel, cartolina e papel-cartão;658;648;619;1.925
173;Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado;2.346;2.260;2.145;6.751
174;Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado;2.051;2.060;1.977;6.088
181;Atividade de impressão;2.861;2.808;2.473;8.142
182;Serviços de pré-impressão e acabamentos gráficos;642;623;569;1.834
183;Reprodução de materiais gravados em qualquer suporte;8;9;9;26
192;Fabricação de produtos derivados do petróleo;1.532;1.551;1.693;4.776
193;Fabricação de biocombustíveis;3.385;2.677;2.602;8.664
201;Fabricação de produtos químicos inorgânicos;4.387;3.997;3.948;12.332
202;Fabricação de produtos químicos orgânicos;2.571;2.524;2.586;7.681
203;Fabricação de resinas e elastômeros;1.041;1.023;1.119;3.183
204;Fabricação de fibras artificiais e sintéticas;522;537;475;1.534
205;Fabricação de defensivos agrícolas e desinfestantes domissanitários;168;167;177;512
206;Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal;5.819;5.716;5.598;17.133
207;Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins;761;767;716;2.244
209;Fabricação de produtos e preparados químicos diversos;1.112;1.071;1.055;3.238
211;Fabricação de produtos farmoquímicos;20;19;18;57
212;Fabricação de produtos farmacêuticos;1.231;1.293;1.064;3.588
221;Fabricação de produtos de borracha;7.815;7.670;7.521;23.006
222;Fabricação de produtos de material plástico;12.653;12.318;11.368;36.339
231;Fabricação de vidro e de produtos do vidro;1.448;1.427;1.354;4.229
232;Fabricação de cimento;329;316;293;938
233;Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;7.970;7.804;7.226;23.000
234;Fabricação de produtos cerâmicos;6.951;6.737;6.786;20.474
239;Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos;3.402;3.233;3.127;9.762
241;Produção de ferro-gusa e de ferroligas;1.641;1.593;1.582;4.816
242;Siderurgia;559;613;532;1.704
243;Produção de tubos de aço, exceto tubos sem costura;103;81;68;252
244;Metalurgia dos metais não-ferrosos;516;781;857;2.154
245;Fundição;99;112;92;303
251;Fabricação de estruturas metálicas e obras de caldeiraria pesada;5.547;6.482;6.096;18.125
252;Fabricação de tanques, reservatórios metálicos e caldeiras;320;319;309;948
253;Forjaria, estamparia, metalurgia do pó e serviços de tratamento de metais;1.908;1.755;1.691;5.354
254;Fabricação de artigos de cutelaria, de serralheria e ferramentas;726;760;688;2.174
259;Fabricação de produtos de metal não especificados anteriormente;3.505;3.210;3.053;9.768
261;Fabricação de componentes eletrônicos;146;128;141;415
262;Fabricação de equipamentos de informática e periféricos;920;1.086;1.056;3.062
263;Fabricação de equipamentos de comunicação;109;115;132;356
264;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;348;460;397;1.205
265;"Fabricação de Aparelhos e Instrumentos de Medida, Teste e Controle; cronômetros e relógios";166;159;158;483
266;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;24;21;19;64
267;Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos;6;8;3;17
268;Fabricação de mídias virgens, magnéticas e ópticas;4;5;6;15
271;Fabricação de geradores, transformadores e motores elétricos;585;516;434;1.535
272;Fabricação de pilhas, baterias e acumuladores elétricos;7;0;0;7
273;Fabricação de equipamentos para distribuição e controle de energia elétrica;493;400;352;1.245
274;Fabricação de lâmpadas e outros equipamentos de iluminação;450;481;455;1.386
275;Fabricação de eletrodomésticos;5.869;5.917;4.527;16.313
279;Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente;695;610;545;1.850
281;Fabricação de motores, bombas, compressores e equipamentos de transmissão;938;812;558;2.308
282;Fabricação de máquinas e equipamentos de uso geral;491;405;427;1.323
283;Fabricação de tratores e de máquinas e equipamentos para a agricultura e pecuária;337;298;260;895
284;Fabricação de máquinas-ferramenta;127;104;116;347
285;Fabricação de máquinas e equipamentos de uso na extração mineral e na construção;619;614;566;1.799
286;Fabricação de máquinas e equipamentos de uso industrial específico;311;311;319;941
291;Fabricação de automóveis, camionetas e utilitários;2.102;261;0;2.363
293;Fabricação de cabines, carrocerias e reboques para veículos automotores;720;728;662;2.110
294;Fabricação de peças e acessórios para veículos automotores;233;233;271;737
295;Recondicionamento e recuperação de motores para veículos automotores;489;451;437;1.377
301;Construção de embarcações;961;252;281;1.494
304;Fabricação de aeronaves;0;0;6;6
309;Fabricação de equipamentos de transporte não especificados anteriormente;160;148;114;422
310;Fabricação de móveis;8.956;8.595;7.960;25.511
321;Fabricação de artigos de joalheria, bijuteria e semelhantes;108;101;90;299
322;Fabricação de instrumentos musicais;3;4;1;8
323;Fabricação de artefatos para pesca e esporte;70;59;63;192
324;Fabricação de brinquedos e jogos recreativos;50;50;56;156
325;Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos;1.193;1.189;1.110;3.492
329;Fabricação de produtos diversos;2.087;2.021;1.891;5.999
331;Manutenção e reparação de máquinas e equipamentos;9.735;9.349;9.276;28.360
332;Instalação de máquinas e equipamentos;2.472;2.388;2.073;6.933
351;Geração, transmissão e distribuição de energia elétrica;7.770;6.818;6.813;21.401
352;Produção e distribuição de combustíveis gasosos por redes urbanas;387;320;316;1.023
353;Produção e distribuição de vapor, água quente e ar condicionado;68;69;65;202
360;Captação, tratamento e distribuição de água;8.297;7.424;7.482;23.203
370;Esgoto e atividades relacionadas;699;670;641;2.010
381;Coleta de resíduos;11.502;11.104;12.284;34.890
382;Tratamento e disposição de resíduos;3.084;2.456;2.579;8.119
383;Recuperação de materiais;1.387;1.287;1.225;3.899
390;Descontaminação e outros serviços de gestão de resíduos;249;263;262;774
411;Incorporação de empreendimentos imobiliários;7.992;7.293;7.526;22.811
412;Construção de edifícios;66.195;61.660;57.352;185.207
421;Construção de rodovias, ferrovias, obras urbanas e obras-de-arte especiais;13.952;14.171;14.215;42.338
422;Obras de infra-estrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos;23.079;22.406;25.530;71.015
429;Construção de outras obras de infra-estrutura;17.682;17.076;17.986;52.744
431;Demolição e preparação do terreno;6.837;6.539;7.365;20.741
432;Instalações elétricas, hidráulicas e outras instalações em construções;16.842;15.600;14.725;47.167
433;Obras de acabamento;5.329;5.338;5.498;16.165
439;Outros serviços especializados para construção;12.069;11.314;13.224;36.607
;Total;493.628;469.070;460.646;1.423.344
;;;;;
;Seleções vigentes;;;;
;Variável;Critério;Valor;;
;Ano;igual a;2025;;
;;;2024;;
;;;2023;;
;Vínculo Ativo 31/12;igual a;Sim;;
;UF;igual a;29 - Bahia;;
;CNAE 2.0 Seção;igual a;CONSTRUÇÃO;;
;;;ELETRICIDADE E GÁS;;
;;;ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO;;
;;;INDÚSTRIAS DE TRANSFORMAÇÃO;;
;;;INDÚSTRIAS EXTRATIVAS;;
;CNAE 2.0 Grupo;igual a;Abate e fabricação de produtos de carne;;
;;;Acabamentos em fios, tecidos e artefatos têxteis;;
;;;Administração do estado e da política econômica e social;;
;;;Agências de viagens e operadores turísticos;;
;;;Aluguel de máquinas e equipamentos sem operador;;
;;;Aluguel de objetos pessoais e domésticos;;
;;;Aparelhamento de pedras e fabricação de outros produtos de minerais não-metálicos;;
;;;Aqüicultura;;
;;;Armazenamento, carga e descarga;;
;;;Arrendamento mercantil;;
;;;Atividade de impressão;;
;;;Atividades artísticas, criativas e de espetáculos;;
;;;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde;;
;;;Atividades auxiliares dos serviços financeiros;;
;;;Atividades auxiliares dos transportes aéreos;;
;;;Atividades auxiliares dos transportes aquaviários;;
;;;Atividades auxiliares dos transportes terrestres;;
;;;Atividades cinematográficas, produção de vídeos e de programas de televisão;;
;;;Atividades de administração de fundos por contrato ou comissão;;
;;;Atividades de apoio à agricultura e à pecuária;;
;;;Atividades de apoio à educação;;
;;;Atividades de apoio à extração de minerais, exceto petróleo e gás natural;;
;;;Atividades de apoio à extração de petróleo e gás natural;;
;;;Atividades de apoio à gestão de saúde;;
;;;Atividades de apoio à produção florestal;;
;;;Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes, e de infra-est e apoio a pac prest em res col e part;;
;;;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química;;
;;;Atividades de assistência social prestadas em residências coletivas e particulares;;
;;;Atividades de associações de defesa de direitos sociais;;
;;;Atividades de atenção à saúde humana não especificadas anteriormente;;
;;;Atividades de atenção ambulatorial executadas por médicos e odontólogos;;
;;;Atividades de atendimento hospitalar;;
;;;Atividades de consultoria em gestão empresarial;;
;;;Atividades de contabilidade, consultoria e auditoria contábil e tributária;;
;;;Atividades de Correio;;
;;;Atividades de exploração de jogos de azar e apostas;;
;;;Atividades de gravação de som e de edição de música;;
;;;Atividades de investigação particular;;
;;;Atividades de limpeza;;
;;;Atividades de malote e de entrega;;
;;;Atividades de monitoramento de sistemas de segurança;;
;;;Atividades de organização de eventos, exceto culturais e esportivos;;
;;;Atividades de organizações associativas não especificadas anteriormente;;
;;;Atividades de organizações associativas patronais, empresariais e profissionais;;
;;;Atividades de organizações sindicais;;
;;;Atividades de profissionais da área de saúde, exceto médicos e odontólogos;;
;;;Atividades de rádio;;
;;;Atividades de recreação e lazer;;
;;;Atividades de serviços de complementação diagnóstica e terapêutica;;
;;;Atividades de serviços financeiros não especificadas anteriormente;;
;;;Atividades de sociedades de participação;;
;;;Atividades de teleatendimento;;
;;;Atividades de televisão;;
;;;Atividades de vigilância, segurança privada e transporte de valores;;
;;;Atividades dos serviços de tecnologia da informação;;
;;;Atividades esportivas;;
;;;Atividades fotográficas e similares;;
;;;Atividades imobiliárias de imóveis próprios;;
;;;Atividades imobiliárias por contrato ou comissão;;
;;;Atividades jurídicas;;
;;;Atividades ligadas ao patrimônio cultural e ambiental;;
;;;Atividades paisagísticas;;
;;;Atividades profissionais, científicas e técnicas não especificadas anteriormente;;
;;;Atividades relacionadas à organização do transporte de carga;;
;;;Atividades veterinárias;;
;;;Banco Central;;
;;;Caça e serviços relacionados;;
;;;Captação, tratamento e distribuição de água;;
;;;Coleta de resíduos;;
;;;Comércio ambulante e outros tipos de comércio varejista;;
;;;Comércio atacadista de equipamentos e produtos de tecnologias de informação e comunicação;;
;;;Comércio atacadista de madeira, ferragens, ferramentas, material elétrico e material de construção;;
;;;Comércio atacadista de máquinas, aparelhos e equipamentos, exceto de tecnologias de informação e comunicação;;
;;;Comércio atacadista de matérias-primas agrícolas e animais vivos;;
;;;Comércio atacadista de produtos de consumo não-alimentar;;
;;;Comércio atacadista especializado em outros produtos;;
;;;Comércio atacadista especializado em produtos alimentícios, bebidas e fumo;;
;;;Comércio atacadista não-especializado;;
;;;Comércio de peças e acessórios para veículos automotores;;
;;;Comércio de veículos automotores;;
;;;Comércio varejista de artigos culturais, recreativos e esportivos;;
;;;Comércio varejista de combustíveis para veículos automotores;;
;;;Comércio varejista de equipamentos de informática e comunicação;;
;;;Comércio varejista de material de construção;;
;;;Comércio varejista de produtos alimentícios, bebidas e fumo;;
;;;Comércio varejista de produtos farmacêuticos, perfumaria e cosméticos e artigos médicos, ópticos e ortopédicos;;
;;;Comércio varejista de produtos novos não especificados anteriormente e de produtos usados;;
;;;Comércio varejista não-especializado;;
;;;Comércio, manutenção e reparação de motocicletas, peças e acessórios;;
;;;Confecção de artigos do vestuário e acessórios;;
;;;Construção de edifícios;;
;;;Construção de embarcações;;
;;;Construção de outras obras de infra-estrutura;;
;;;Construção de rodovias, ferrovias, obras urbanas e obras de arte especiais;;
;;;Coquerias;;
;;;Curtimento e outras preparações de couro;;
;;;Demolição e preparação do terreno;;
;;;Descontaminação e outros serviços de gestão de resíduos;;
;;;Desdobramento de madeira;;
;;;Design e decoração de interiores;;
;;;Edição de livros, jornais, revistas e outras atividades de edição;;
;;;Edição integrada à impressão de livros, jornais, revistas e outras publicações;;
;;;Educação infantil e ensino fundamental;;
;;;Educação profissional de nível técnico e tecnológico;;
;;;Educação superior;;
;;;Ensino médio;;
;;;Esgoto e atividades relacionadas;;
;;;Extração de carvão mineral;;
;;;Extração de minerais metálicos não-ferrosos;;
;;;Extração de minério de ferro;;
;;;Extração de outros minerais não-metálicos;;
;;;Extração de pedra, areia e argila;;
;;;Extração de petróleo e gás natural;;
;;;Fabricação de aeronaves;;
;;;Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo;;
;;;Fabricação de aparelhos e instrumentos de medida, teste e controle;;
;;;Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação;;
;;;Fabricação de artefatos de concreto, cimento, fibrocimento, gesso e materiais semelhantes;;
;;;Fabricação de artefatos para pesca e esporte;;
;;;Fabricação de artefatos têxteis, exceto vestuário;;
;;;Fabricação de artigos de cutelaria, de serralheria e ferramentas;;
;;;Fabricação de artigos de joalheria, bijuteria e semelhantes;;
;;;Fabricação de artigos de malharia e tricotagem;;
;;;Fabricação de artigos para viagem e de artefatos diversos de couro;;
;;;Fabricação de automóveis, camionetas e utilitários;;
;;;Fabricação de bebidas alcoólicas;;
;;;Fabricação de bebidas não-alcoólicas;;
;;;Fabricação de biocombustíveis;;
;;;Fabricação de brinquedos e jogos recreativos;;
;;;Fabricação de cabines, carrocerias e reboques para veículos automotores;;
;;;Fabricação de calçados;;
;;;Fabricação de caminhões e ônibus;;
;;;Fabricação de celulose e outras pastas para a fabricação de papel;;
;;;Fabricação de cimento;;
;;;Fabricação de componentes eletrônicos;;
;;;Fabricação de conservas de frutas, legumes e outros vegetais;;
;;;Fabricação de defensivos agrícolas e desinfestantes domissanitários;;
;;;Fabricação de eletrodomésticos;;
;;;Fabricação de embalagens de papel, cartolina, papel-cartão e papelão ondulado;;
;;;Fabricação de equipamento bélico pesado, armas de fogo e munições;;
;;;Fabricação de equipamentos de comunicação;;
;;;Fabricação de equipamentos de informática e periféricos;;
;;;Fabricação de equipamentos de transporte não especificados anteriormente;;
;;;Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente;;
;;;Fabricação de equipamentos e instrumentos ópticos, fotográficos e cinematográficos;;
;;;Fabricação de equipamentos para distribuição e controle de energia elétrica;;
;;;Fabricação de estruturas metálicas e obras de caldeiraria pesada;;
;;;Fabricação de fibras artificiais e sintéticas;;
